,Server Price,Sever Details
117,"$1,316.70",New ListingHP ProLiant DL360 G7 Server 2.67Ghz 8-Core 144GB 4x NEW 800GB SSD Enterprise
118,"$1,174.80",New ListingHP ProLiant DL360 G7 Server 2x 2.26Ghz L5520 QC 192GB 4x 1TB Energy-Efficient
119,"$2,994.76",New ListingHP ProLiant DL380 G9 Server 2x 3.20Ghz E5-2667v3 8C 256GB  High-End
120,"$1,184.99",Dell R720 8B SFF 16-Core 2.90GHz E5-2690 96GB RAM 2x 1TB SSD H310 2x PSU
121,"$3,036.32",New ListingHP ProLiant DL360 G9 Server 3.20Ghz 16-Core 256GB 8x 600GB High-End
122,"$2,788.00",DELL PowerEdge R620 Server 2x 2.70Ghz E5-2697v2 12C 384GB 4x 1TB SSD Premium
123,"$2,358.40",New ListingDELL PowerEdge R720 Server 2.60Ghz 12-Core 192GB 3x 512GB SSD 13x 1TB Enterprise
124,$409.99,"Dell PowerEdge R710 2.5"" Server 2x 2.66 GHz Six Core X5650 64GB 4x 600GB 10k"
125,$850.00,Sun V440 Server 4x 1.59GHz 8GB 4x 73GB (A42-XHB4C2-08HD)
126,$299.80,Dell r210 server-intel xeon x3430 1 quad core - 8 gb ram - 250 gb sata
127,"$2,073.59",Dell PowerEdge R720 2U 16 bay 2 x E5-2660 v2 192GB RAM 2 x 300GB SSD 10gb card
128,$646.80,New ListingHP ProLiant DL380 G7 Server 2x 2.66Ghz X5650 6C 64GB 2x 1.2TB 10K SAS Enterprise
129,"$1,268.30",New ListingHP ProLiant DL360P G8 Server 2.20Ghz 16-Core 144GB 2x NEW 800GB SSD Mid-Level
130,$276.10,New ListingHP ProLiant DL360 G7 Server 2x 2.53Ghz E5630 QC 72GB  Enterprise
131,"$3,292.30",New ListingDELL PowerEdge R720 Server 2x 2.90Ghz E5-2690 8C 192GB 8x 8TB SAS 12G High-End
132,"$2,169.99",Dell R720 8B SFF 16-Core 2.20GHz E5-2660 192GB RAM 8x 1TB SSD H310 2x PSU
133,"$3,704.55",New ListingHP ProLiant DL380 G9 Server 3.20Ghz 16-Core 256GB 3x 450GB 15K 9x 3TB High-End
134,$845.00,1U Supermicro E3-1240v6 3.4GHz / X11SSL-F / 16GB RAM / Dual LAN / 120GB SSD
135,$640.20,New ListingHP ProLiant DL380 G7 Server 8-Core 48GB 3x 160GB SSD 5x 300GB Energy-Efficient
